,L81034,C83023,A82031,J83049,M83049,M83703,L81055,L81058,A82022,L83072,M92649,C83003,C82038,M92011,M83052,M83033,C83019,M92002,J83055,D83029,L81066,J83007,L81002,L81643,J83006,C83085,L81052,M91007,L81047,P81607,L81029,J83029,M85007,L81019,L81063,D82037,M91017,B81035,J83032,Y02581,C83038,A82032,C83083,J83011,Y00741,L81124,M92609,L81040,J83642,C83015,L81016,A82029,B81056,L84085,J83030,Y02868,L81017,L81086,M83013,J83018,A82631,C83049,C83071,M85156,C83004,Y02627,J83050,M92012,N85052,L81130,C83033,L84080,J83052,B82069,J83042,L81018,M82046,P81020,J83040,M83639,L81046,L81074,L81021,L84051,M91004,L81060,L81044,M91013,C83075,D83062,B81011,G81017,L81051,M84030,M85143,L81043,M92009,L81119,L82054,D81058,J83020,G82229,L84063,M92039,M83662,L81635,M92024,B81038,C83029,M87021,L81056,L81079,A82013,M92630,J83037,J83021,L81642,L81127,A82035,M85177,J83028,D83053,M85051,J83008,M85056,D83027,J83003,M84019,L81632,H81097,J83034,M91019,J83035,M92006,C83056,M85003,J83603,L81102,C83063,M83129,F82021,D83036,L81088,M91643,L81116,M85669,J83060,L81050,M91008,B81095,D82034,M92607,M85128,C83005,J83046,L81024,L81004,C83031,L81028,H81043,J82138,D83023,J83619,C83021,J83045,M82057,M87012,C83072,J83053,B81027,M92013,B81046,C83007,C83079,J83016,M85023,C83611,C83051,P81051,M82039,F86044,M83107,J82058,J83026,P81633,L81117,J83023,B81058,J83036,M83001,D82100,M83022,L81014,E86004,M83719,J83019,M83727,C84060,M85076,M83738,M91011,Y02757,A82044,C83052,M92007,C83045,D82007,P81215,L81083,P82036,N82003,M83109,M83031,C83059,B81048,M86040,J83041,J83625,J83056,M83668,M85103,B85011,P84070,D83045,L81013,H83043,J82075,L81600,L81041,M83072,M92040,L81033,J83629,M92028,J82157,J83017,P81070,M92019,D83048,G81039,F81020,M91015,J83013,L81649,L81103,P82015,L81075,C83043,M92647,M83146,D82028,M81083,C83073,C83060,P81182,K81002,P81730,M83616,J83618,M92654,G81077,D82020,C83064,K81003,Y03798,C83040,C83057,L83043,D83022,L81084,M91647,Y04944,J82220,M85058,M91016,J83615,M92629,E86029,L81036,Y02354,J82123,M85030,M83097,M85061,N85014,M92627,C83009,C83633,P88016,J82017,L81026,J82077,J82633,C83022,L81062,M92031,M83065,C83047,L81057,J82025,J83039,M83020,P81078,M83036,L81072,M82029,L81089,D83055,D83079,M91612,C83013,L81670,C83037,J83043,J83010,D83060,L81087,L81031,C83041,J83005,J82136,D82053,L81118,M85079,J83004,M92014,Y00400,M85600,M86020,Y01652,C83028,J82061,K81077,D82058,M92043,M92030,Y02636,M81016,M83613,J82094,B81072,M83009,P92033,D83078,M85081,D83056,M84016,M84003,M83044,M89002,M84629,L85024,M91616,L81045,M81044,M91032,M83638,D83018,D83069,Y04631,Y04037,J83636,J82144,Y02666,M92016,J83048,M85117,M81025,C87029,M85086,J83044,M85733,P81058,M83682,M83050,K81047,A82006,J83609,L81030,M84028,M91020,D83008,Y02771,P92626,C83614,M83024,L81085,L81091,M92008,L81077,M83139,L81054,N85022,H83034,M83680,C88088,Y01166,F81125,C85022,K81633,L85043,D83067,L81042,J83014,M92015,M85028,P92619,B84006,M84062,D83047,C84012,K81067,C83065,Y03662,M84015,G81031,D83035,L81007,D83030,D83044,M81032,L81038,M85027,L81035,F82607,L81012,M84040,C83058,M92022,M83619,G81048,L81037,Y03792,G83009,M83014,L81095,F81095,B81034,L85014,L81131,F81123,M91009,L85012,G85053,D83021,L85027,M92001,D83039,J83632,M85783,L81669,N85002,L81009,D83003,C85004,Y03922,K81020,Y01013,G81085,M85167,M83608,M92010,M92041,M92026,D81085,J82131,P81036,M85062,C83014,L81015,K81069,D83009,Y02735,Y02989
2015-01-01,156,78,156,92,156,78,78,468,156,234,78,312,92,156,156,78,92,78,1248,92,858,644,78,468,468,936,234,78,312,156,234,1090,92,78,234,78,78,92,92,156,404,78,92,184,78,858,78,92,78,78,1396,78,234,156,184,92,78,78,1212,184,468,92,184,78,92,78,92,312,78,78,276,78,276,92,276,312,78,78,92,312,156,78,1360,92,78,78,560,78,78,92,92,78,1652,248,92,276,156,418,92,92,828,1170,156,156,78,624,666,624,156,312,560,78,156,78,920,1168,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,234,,156,,78,78,,156,,404,,78,,,156,,,,156,276,1092,1104,326,390,156,312,156,78,156,78,390,1380,92,,,156,78,,92,624,234,,,184,,956,,276,156,,1516,,156,156,,,92,234,496,368,858,184,184,,92,78,,546,,248,276,,276,92,460,,,,92,234,78,234,588,,,354,156,78,,,92,,886,326,,92,468,482,,92,368,702,156,78,78,390,390,390,,156,468,234,468,,368,552,156,156,,78,92,78,92,276,156,92,184,78,78,92,92,78,92,184,92,92,78,262,78,78,78,92,78,156,354,78,276,78,78,156,78,78,78,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,312,78,,184,78,,,312,,234,,312,,,,78,92,,468,,936,368,326,780,858,,,,468,,390,1472,,,546,390,78,,92,234,496,,,368,,560,78,552,,,850,78,78,78,460,,,,418,92,156,,92,,92,,,312,78,78,92,,276,,276,,,234,184,156,,312,1956,,,,340,78,,92,,,1028,234,,92,156,326,,92,460,858,,78,,468,1496,234,156,156,312,78,78,,460,736,156,78,,,,,,92,,,184,78,,,368,,92,,,,,248,,78,,,234,,312,,184,,,,156,,,,,78,156,92,78,78,78,78,184,92,92,78,78,92,92,78,78,92,78,92,92,78,92,92,78,78,78,78,156,184,78,78,92,92,92,156,92,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,234,,156,92,156,78,,312,,156,,,,,78,,92,,1092,,1170,552,248,780,858,1560,78,,312,,312,828,,,78,234,78,,,546,248,,,92,,942,156,1034,170,,1530,,78,,,,,78,262,184,,,,,92,,,156,,78,,,,184,368,156,,,276,312,,312,992,,,248,390,,,,92,,1496,234,,184,234,496,,92,1012,1482,78,78,,234,1404,312,,156,,,468,,368,552,78,,,78,,,,276,156,92,92,156,,,184,,,,,,,390,,,,,78,156,,78,,,,156,,,,92,,78,78,184,,,,,,,92,,,184,,,78,,,92,92,,,,,,,,312,,78,,,,,156,,78,78,92,78,184,78,92,92,78,78,92,156,92,78,184,184,78,78,78,78,234,78,92,92,78,184,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,78,184,,156,,,,,,78,,92,,,,,468,92,1482,276,482,780,326,936,78,,234,,404,1196,,,156,312,78,,552,546,156,,,460,,1226,184,978,,,1240,78,,156,368,,,78,588,92,,,,,92,78,,326,78,,,,,,368,,,78,92,78,248,78,858,,,326,1070,156,,,,,1248,156,,92,78,716,,92,276,546,78,78,,390,702,156,,248,156,,78,,,1288,156,78,,78,,156,,184,156,,,,,,92,,,92,,,,78,,,,92,156,,,78,,,78,,,,,,92,78,78,92,,,,,276,,92,,,92,,,78,,,92,184,,,92,,702,,234,78,184,234,,,,,,,156,,,,,,,,,,,156,,,368,,156,78,,78,,,,,,460,,92,234,234,78,78,92,78,78,92,78,78,78,78,92,92,78,78,276,170,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,78,,78,92,,,,702,,,234,234,,78,,,,,312,184,2106,644,234,1014,404,312,,,312,,390,460,,,234,78,78,,460,390,156,,,460,,574,,1056,,,1502,78,,78,,,,,326,,78,,,78,,78,,312,78,78,,,368,,552,,,156,184,234,92,,1056,,,,936,,,92,92,,2580,156,,276,156,1282,,184,736,390,156,,,780,1560,234,,156,156,234,468,,,920,78,,,,92,,,276,156,,,78,,,368,,,,,,,234,,78,,92,,156,,78,,,,156,,92,,,92,,78,92,78,,,,644,,,,,184,92,,234,,,92,184,,,,,,,78,,92,78,78,,,92,156,92,156,,,,,,,,,,,78,,,,78,,,,,,,,,,446,184,,234,,,,92,,,,,,,,,,,,92,170,,,78,92,78,184,78,78,92,78,92,78,78,78,78,92,92,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,156,184,,78,,312,,,,78,,,,,,,780,460,1482,552,170,780,432,1984,,,156,,390,906,,,312,,,,460,,78,,,368,,354,78,680,,,2528,156,,78,,,,326,156,,,,92,,,,184,156,78,,,,92,,460,,,,184,390,92,312,1318,,,,914,,,92,,,1928,156,,184,,1154,,,552,468,78,156,,234,78,156,,,234,78,,,,828,156,78,,,,156,,92,156,,,,,,368,,,,,,,234,,,,,,,,78,,,,,,,,,92,,78,92,,,,,92,,,,,,,,78,184,,184,276,,,,,,,78,156,184,78,,,,,156,92,78,,92,,,,,,,,,,,,,,,,,,,,552,,,368,92,,,,,,,,,,,,,,,,,,276,234,,,,,78,184,,78,,,,,,,,92,,,,92,78,92,184,78,92,276,78,184,92,78,78,184,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,368,,78,,326,,,78,78,,,,,,,468,184,1248,828,78,864,928,,,,156,,234,906,,,,,,,460,156,156,,,644,,942,156,276,,,2040,,,78,276,,,92,326,92,,,92,,,,,78,234,170,,,,,368,,,,92,312,92,234,1432,,,,1042,,,92,,,1574,340,,418,78,1140,,184,460,468,78,78,,404,936,,,156,312,78,,,,368,156,,,,,,,92,156,,,,,,,,,,,,,78,,,,,,156,,156,,,78,,,78,,,184,78,78,92,78,,,,276,,,,,,92,,234,,,92,184,,,,,936,,,,184,78,,,,,156,,,,,,,,,,,,,,,1404,,,,,78,,,,,,,276,,92,,,,,,,,,78,,,,,,,,92,,,,,,,184,,156,,,,78,,78,,92,,,,,,78,,,,,78,,92,78,,,,,92,78,78,78,92,184,78,78,390,78,92,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,156,92,,,,496,,,,78,,,,,,,546,92,1248,644,92,1176,234,,78,,390,,,460,,78,78,,78,,644,312,78,,,460,,1084,,616,,,1962,,,78,184,,,234,468,92,,,,,,,92,156,390,184,,,,,368,78,,78,92,390,78,78,1382,,,,1962,156,,,,,1404,496,,184,156,446,,92,368,312,78,78,,482,2184,78,,,78,78,390,,92,828,78,,,,,,,,156,,92,,,,,,,,,,,156,,78,,,,156,,,,,,156,,,,,92,78,,92,,,78,,276,,,,,184,92,,,92,,184,92,,,,,,,78,,184,156,,,,,156,,78,,,,,,,,,,,,,1404,,,,,,,,,92,,,722,,,,,,,,,,,,,,78,,,,,,78,,,,,,184,,,,,,,,,,92,,,,,,92,,,,92,,,,78,156,,,,,,,78,,,,,,,,,,92,78,92,78,78,78,78,92,78,92,78,78,78,92,78,156,92,78,156,78,312,78,78,92,92,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,78,,78,368,,,,900,,,,78,,,,,92,,780,630,1872,552,,1332,390,624,156,78,234,,234,538,,,156,,,,460,468,78,,,276,,680,,850,156,,2932,,78,78,184,,,1666,312,,,,,,,,,312,468,78,,,,,276,,,,184,234,248,,1460,,,,1410,78,,,,,1014,248,,170,234,1346,,92,552,546,234,78,,404,3120,,,156,156,390,,78,,552,78,,,,92,,,368,156,92,,78,,,276,78,,,,,,234,92,78,,,,,,,,,,,,,,,92,78,,,,,,78,552,,,,,92,92,,78,92,,92,,,,,,,,78,,276,78,,,,,,92,78,,,,,,,,,,,,,78,,,78,,,,,,,,,644,,,,,,,,78,,,,78,,,,,,,,,,,,,,276,,,,,,,,,,92,,,,,,92,78,,,,,,92,,78,,,,,,,,,92,,78,,,92,,,,,,78,,,,,,,78,,,,,78,,,,,1716,,,,,156,,156,92,92,92,234,156,156,92,92,92,276,92,78,92,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
